================================================
  NLOC    CCN   token  PARAM  length  location  
    307      18.7     4.9      130.8        12     ../softwipe/softwipe.py
    292      16.3     4.8      114.6        17     ../softwipe/static_analysis_phase.py
    156       8.0     1.0       66.0         1     ../softwipe/strings.py
     21       0.0     0.0        0.0         0     ../softwipe/tools_info.py
     76       5.9     2.7       41.8        12     ../softwipe/util.py

===========================================================================================================
!!!! Warnings (cyclomatic_complexity > 15 or length > 1000 or nloc > 1000000 or parameter_count > 100) !!!!
================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      44     24    431      2      57 get_result_rates@66-122@../softwipe/calculate_score_table.py
      49     25    495      2      58 get_result_values@125-182@../softwipe/calculate_score_table.py
      71     20    585      2      88 calculate_scores@185-272@../softwipe/calculate_score_table.py
     182     34   1654      0     222 main@15-236@../softwipe/recalculate_scores_from_table.py
      52     16    367      0      72 main@401-472@../softwipe/softwipe.py
==========================================================================================
Total nloc   Avg.NLOC  AvgCCN  Avg.token   Fun Cnt  Warning cnt   Fun Rt   nloc Rt
------------------------------------------------------------------------------------------
      2373      13.4     4.0      102.5      127            5      0.04    0.23
Duplicates
===================================
Duplicate block:
--------------------------
../softwipe/compile_phase.py:412 ~ 421
../softwipe/compile_phase.py:445 ~ 454
^^^^^^^^^^^^^^^^^^^^^^^^^^

Total duplicate rate: 0.90%
Total unique rate: 99.47%
